Thu Jun 04 17:46:52 CEST 2020 ; class client.Server ; WARNING ; Server socket turned on;
Thu Jun 04 17:46:52 CEST 2020 ; class client.Main ; WARNING ; Initialization of listening socket;
Thu Jun 04 17:46:52 CEST 2020 ; class client.ClientSocket ; WARNING ; Socket de connexion du client vers le serveur connecté;
Thu Jun 04 17:46:52 CEST 2020 ; class client.Dialogue ; INFO ; Nouveau client: IP: /192.168.56.1;port d'écoute 50218
Thu Jun 04 17:46:52 CEST 2020 ; class client.Main ; WARNING ; Client connexion enable;
Thu Jun 04 17:46:52 CEST 2020 ; class client.Main ; WARNING ; Client connexion enable;
Thu Jun 04 17:47:02 CEST 2020 ; class client.Dialogue ; INFO ; Client choosed : add music on server;
Thu Jun 04 17:47:02 CEST 2020 ; class client.Dialogue ; INFO ; Client choosed : add music on server;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Music choice: 5;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Music choice: 5;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Music choice: 5;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Thu Jun 04 17:47:04 CEST 2020 ; class client.Dialogue ; INFO ; Client connected;
Thu Jun 04 17:47:05 CEST 2020 ; class client.SimpleAudioPlayer ; INFO ; Streaming go on;
Thu Jun 04 17:47:05 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava\flying.wav
Thu Jun 04 17:47:05 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava\flying.wav
Thu Jun 04 17:47:05 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava\flying.wav
Thu Jun 04 17:47:05 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava\flying.wav
Thu Jun 04 17:47:05 CEST 2020 ; class client.Dialogue ; INFO ; Début du streaming;C:\Users\Quentin\Documents\MusiqueJava\flying.wav
