Mon Jun 01 22:35:06 CEST 2020 ; class server.Server ; WARNING ; Listen socket created; ; 
Mon Jun 01 22:35:10 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:35:10 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:35:10 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Mon Jun 01 22:35:10 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Mon Jun 01 22:35:10 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Mon Jun 01 22:35:16 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Mon Jun 01 22:35:16 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:16 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:16 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:16 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:16 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client 2 connected; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client 2 connected; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client 2 connected; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client 2 connected; ; 
Mon Jun 01 22:35:18 CEST 2020 ; class server.Server ; WARNING ; Client 2 connected; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Mon Jun 01 22:35:26 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
