Sat Jun 06 19:14:14 CEST 2020 ; class server.Server ; WARNING ; Listen socket created; ; 
Sat Jun 06 19:14:26 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Sat Jun 06 19:14:26 CEST 2020 ; class server.Server ; WARNING ; Client listen socket turned on; ; 
Sat Jun 06 19:14:26 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Sat Jun 06 19:14:26 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Sat Jun 06 19:14:26 CEST 2020 ; class server.Server ; WARNING ; Client 1 connected; ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; SEVERE ; Impossible to read list;java.net.SocketException: Connection reset ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Music list added on server music list; ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Music list shared with client; ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
Sat Jun 06 19:14:45 CEST 2020 ; class server.ClientS ; INFO ; Communication with client : OK;Lists exchanged ; 
